ID;Orden;Cliente;Tipo;Concepto;Oficina;Tráfico;Partner;Factura;Fecha factura;Moneda;Neto;IVA;Neto (local);IVA (local);Fecha económica;Fecha booking;No. asiento;Actualizado
2484;CGL25123821;NAPS-GUANAJUATO;payable;CAT02;1000;air;P0990 COMPROBADOS SERVICIOS ADUANEROS DEL NORTE;CGL25123821;27/02/2026;MXN;27.937,95;4.470,07;27.937,95;4.470,07;06/12/2025;06/12/2025;8759;02/03/2026 19:02
2483;CGL25123821;NAPS-GUANAJUATO;income;ITR02;1000;air;C0051 NAPS-GUANAJUATO;;27/02/2026;MXN;23.950,00;3.832,00;23.950,00;3.832,00;06/12/2025;06/12/2025;1-003762;02/03/2026 19:02
2481;CGL25123821;NAPS-GUANAJUATO;income;IAD02;1000;air;C0051 NAPS-GUANAJUATO;;27/02/2026;MXN;7.200,00;1.152,00;7.200,00;1.152,00;06/12/2025;06/12/2025;1-003762;02/03/2026 19:02
2480;CGL25123821;NAPS-GUANAJUATO;income;ITR03;1000;air;C0051 NAPS-GUANAJUATO;;27/02/2026;MXN;1.500,00;240;1.500,00;240;06/12/2025;06/12/2025;1-003762;02/03/2026 19:02
2475;CGL26024071;JOINT PRODUCTION;payable;CTR08;2000;road;P0179 CAMILI FORWARDING ING;32819;27/02/2026;USD;415;0;7.125,55;0;09/02/2026;09/02/2026;8758;02/03/2026 19:02
2474;CGL26024071;JOINT PRODUCTION;payable;CAD02;2000;road;P0013 GRUPO CAMILI;65695;27/02/2026;MXN;2.510,00;200,8;2.510,00;200,8;09/02/2026;09/02/2026;8756;02/03/2026 19:02
2473;CGL26024071;JOINT PRODUCTION;payable;CAD02;2000;road;P0013 GRUPO CAMILI;65696;27/02/2026;MXN;2.510,00;200,8;2.510,00;200,8;09/02/2026;09/02/2026;8750;02/03/2026 19:02
2472;CGL26024071;JOINT PRODUCTION;payable;CAD07;2000;road;P0179 CAMILI FORWARDING ING;32819;27/02/2026;USD;80;0;1.373,60;0;09/02/2026;09/02/2026;8758;02/03/2026 19:02
2459;CGL26024069;JOINT PRODUCTION;payable;CAD02;2000;road;P0013 GRUPO CAMILI;65699;27/02/2026;MXN;2.510,00;200,8;2.510,00;200,8;09/02/2026;09/02/2026;8757;02/03/2026 19:02
2449;CGL26013913;SELLOS Y RETENES DE SAN LUIS;income;IAD02;2000;road;C0024 SELLOS Y RETENES DE SAN LUIS;;27/02/2026;MXN;0,01;0;0,01;0;06/01/2026;06/01/2026;2-003761;02/03/2026 19:02
2448;CGL26013913;SELLOS Y RETENES DE SAN LUIS;payable;CAD02;2000;road;P0013 GRUPO CAMILI;65697;27/02/2026;MXN;3.610,00;288,8;3.610,00;288,8;06/01/2026;06/01/2026;8753;02/03/2026 19:02
2447;CGL26013913;SELLOS Y RETENES DE SAN LUIS;income;PT01;2000;road;C0024 SELLOS Y RETENES DE SAN LUIS;;27/02/2026;MXN;92.116,00;0;92.116,00;0;06/01/2026;06/01/2026;2-003761;02/03/2026 19:02
2444;CGL26024074;GSI ASIA PACIFIC, CO. LIMITED;income;PT02;2000;air;C0080 GSI ASIA PACIFIC, CO. LIMITED;;27/02/2026;USD;240,24;0;4.145,65;0;10/02/2026;10/02/2026;2-003760;02/03/2026 19:02
2442;CGL26024074;GSI ASIA PACIFIC, CO. LIMITED;income;ITR02;2000;air;C0080 GSI ASIA PACIFIC, CO. LIMITED;;27/02/2026;USD;550;0;9.490,97;0;10/02/2026;10/02/2026;2-003760;02/03/2026 19:02
2441;CGL26024074;GSI ASIA PACIFIC, CO. LIMITED;income;ITR02;2000;air;C0080 GSI ASIA PACIFIC, CO. LIMITED;;27/02/2026;USD;450;0;7.765,34;0;10/02/2026;10/02/2026;2-003760;02/03/2026 19:02
2438;CGL26024074;GSI ASIA PACIFIC, CO. LIMITED;income;ITR02;2000;air;C0080 GSI ASIA PACIFIC, CO. LIMITED;;27/02/2026;USD;1.050,00;0;18.119,12;0;10/02/2026;10/02/2026;2-003760;02/03/2026 19:02
2437;CGL26024074;GSI ASIA PACIFIC, CO. LIMITED;income;ITR02;2000;air;C0080 GSI ASIA PACIFIC, CO. LIMITED;;27/02/2026;USD;200;0;3.451,26;0;10/02/2026;10/02/2026;2-003760;02/03/2026 19:02
2432;CGL26024108;JOINT PRODUCTION;income;ITR02;2000;road;C0084 JOINT PRODUCTION;;27/02/2026;USD;6.000,00;0;103.537,80;0;20/02/2026;20/02/2026;2-003759;02/03/2026 19:02
2429;CGL26013982;NAPS-GUANAJUATO;income;IAD09;2000;road;C0002 NAPS-GUANAJUATO;;27/02/2026;MXN;1.800,00;288;1.800,00;288;23/01/2026;23/01/2026;2-003758;02/03/2026 19:02
2428;CGL26013982;NAPS-GUANAJUATO;income;IAD02;2000;road;C0002 NAPS-GUANAJUATO;;27/02/2026;MXN;4.500,00;720;4.500,00;720;23/01/2026;23/01/2026;2-003758;02/03/2026 19:02
2426;CGL26013982;NAPS-GUANAJUATO;income;PT01;2000;road;C0002 NAPS-GUANAJUATO;;27/02/2026;MXN;845;0;845;0;23/01/2026;23/01/2026;2-003758;02/03/2026 19:02
2423;CGL26024045;NAPS-GUANAJUATO;income;IAD02;2000;road;C0002 NAPS-GUANAJUATO;;27/02/2026;MXN;4.200,00;672;4.200,00;672;06/02/2026;06/02/2026;2-003757;02/03/2026 19:02
2421;CGL26024045;NAPS-GUANAJUATO;income;PT01;2000;road;C0002 NAPS-GUANAJUATO;;27/02/2026;MXN;383;0;383;0;06/02/2026;06/02/2026;2-003757;02/03/2026 19:02
2420;CGL26013993;NAPS-GUANAJUATO;payable;CAT02;2000;air;P0989 COMPROBADOS GRUPO CAMILI;C65700;27/02/2026;MXN;1.903,36;304,54;1.903,36;304,54;23/01/2026;23/01/2026;8748;02/03/2026 19:02
2419;CGL26013993;NAPS-GUANAJUATO;income;IAT02;2000;air;C0002 NAPS-GUANAJUATO;;27/02/2026;MXN;2.570,00;411,2;2.570,00;411,2;23/01/2026;23/01/2026;2-003756;02/03/2026 19:02
2418;CGL26013993;NAPS-GUANAJUATO;payable;PT01;2000;air;P0989 COMPROBADOS GRUPO CAMILI;26 47 1780 6000031;27/02/2026;MXN;383;0;383;0;23/01/2026;23/01/2026;8749;02/03/2026 19:02
2417;CGL26013993;NAPS-GUANAJUATO;payable;CAD02;2000;air;P0013 GRUPO CAMILI;65700;27/02/2026;MXN;4.000,00;640;4.000,00;640;23/01/2026;23/01/2026;8747;02/03/2026 19:02
2416;CGL26013993;NAPS-GUANAJUATO;income;IAD02;2000;air;C0002 NAPS-GUANAJUATO;;27/02/2026;MXN;6.000,00;960;6.000,00;960;23/01/2026;23/01/2026;2-003756;02/03/2026 19:02
2415;CGL26013993;NAPS-GUANAJUATO;income;PT01;2000;air;C0002 NAPS-GUANAJUATO;;27/02/2026;MXN;383;0;383;0;23/01/2026;23/01/2026;2-003756;02/03/2026 19:02
