SERIE;FACTURA;REFERENCIA ;FECHA;CLIENTE;CLIENTE NOMBRE;COMPROBADOS;COMPLEMENTARIOS;IVA;SUBTOTAL;ANTICIPO;TOTAL;MONEDA;;;DOCUMENTACION, ALMACENAJES Y MANIOBRAS ( TER) ;IMPUESTOS ADUANALES (TER);;HONORARIOS ;REVALIDACION GUIA / BOL ;MANIOBRAS;ALMACENAJES;SERVICIOS LOGISTICOS;RECONOCIMIENTO ADUANERO ;DESCONSOLIDACION;SERVICIOS COMPLEMENTARIOS ;SERVICIOS EXTRAORDINARIO ;RECTIFICACIONES;LIMPIEZA DE CONTENEDOR ;DEMORAS;LIBERACIONES DOCUMENTOS;GASTOS EN DESTINO;SERVICIO DE MENSAJERIA ;CERTIFICADO DE ORIGEN ;;PROFIT;EJECUTIVO;T OPE;;;MXN;USD;TOTAL;PORCENTAJE;
1;1-003592;CGL26013909;16-ene-26;C0069;JOINT PRODUCTION HONOR ;0,00; 16.684,08 ;2.669,45;19.353,53;54.752,00;(35.398,47);MXN;;;0,00;0,00;;7.200,00;0,00;9.484,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;21%;ALONSO ;A;;LIBERACIONES DOCUMENTOS;0,00;0,00;0,00;0,00%;
1;1-003593;CGL26013906;16-ene-26;C0069;JOINT PRODUCTION HONOR ;0,00; 17.599,16 ;2.815,87;20.415,03;54.752,00;(34.336,97);MXN;;;0,00;0,00;;7.200,00;0,00;10.399,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;21%;ALONSO ;A;;GASTOS EN DESTINO;0,00;13.268,79;13.268,79;0,36%;
1;1-003594;CGL26013905;19-ene-26;C0069;JOINT PRODUCTION HONOR ;1.307,00; 70.249,38 ;11.239,90;82.796,28;83.319,00;(522,72);MXN;;;0,00;1.307,00;;7.200,00;0,00;63.049,38;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;15%;ALONSO ;A;;SERVICIO DE MENSAJERIA ;0,00;0,00;0,00;0,00%;
1;1-003595;CGL26013904;19-ene-26;C0069;JOINT PRODUCTION HONOR ;0,00; 57.125,59 ;9.140,09;66.265,68;67.512,00;(1.246,32);MXN;;;0,00;0,00;;7.200,00;0,00;49.925,59;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;15%;ALONSO ;A;;CERTIFICADO DE ORIGEN ;0,00;0,00;0,00;0,00%;
2;2-003597;CGL25123898;21-ene-26;C0084;JOINT PRODUCTION TECTRAN ;0,00; 18.600,00 ;2.976,00;21.576,00;21.576,00;0,00;MXN;;;0,00;0,00;;0,00;0,00;0,00;0,00;18.600,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;25%;LOREFANY ;T;;GASTOS EN ORIGEN ;0,00;35.816,51;35.816,51;0,98%;
2;2-003598;CGL26013927;21-ene-26;C0084;JOINT PRODUCTION TECTRAN ;0,00; 21.000,00 ;3.360,00;24.360,00;24.360,00;0,00;MXN;;;0,00;0,00;;0,00;0,00;0,00;0,00;21.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;35%;ELIAS;T;;CUOTA;0,00;0,00;0,00;0,00%;
2;2-003599;CGL25123897;22-ene-26;C0069;JOINT PRODUCTION HONOR ;0,00; 108.550,55 ;17.368,09;125.918,64;150.104,00;(24.185,36);MXN;;;0,00;0,00;;104.000,00;0,00;4.550,55;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;56%;JESUS ;T;;;0,00;0,00;0,00;0,00%;
1;1-003600;CGL25123879;26-ene-26;C0069;JOINT PRODUCTION HONOR ;845,00; 33.262,15 ;5.321,94;39.429,09;42.837,00;(3.407,91);MXN;;;0,00;845,00;;7.200,00;608,92;21.453,23;0,00;4.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;29%;ALONSO ;A;;;3.364.612,05;304.454,23;3.669.066,28;100%;
1;1-003602;CGL26013939;27-ene-26;C0069;JOINT PRODUCTION HONOR ;0,00; 16.734,15 ;2.677,46;19.411,61;54.752,00;(35.340,39);MXN;;;0,00;0,00;;7.200,00;0,00;6.534,15;0,00;0,00;0,00;0,00;0,00;3.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;31%;ALONSO ;A;;;;;;;
1;1-003603;CGL26013941;27-ene-26;C0069;JOINT PRODUCTION HONOR ;0,00; 20.599,16 ;3.295,87;23.895,03;54.752,00;(30.856,97);MXN;;;0,00;0,00;;7.200,00;0,00;10.399,16;0,00;0,00;0,00;0,00;0,00;3.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;28%;ALONSO ;A;;;;;;;
1;1-003604;CGL26013949;27-ene-26;C0069;JOINT PRODUCTION HONOR ;0,00; 19.684,08 ;3.149,45;22.833,53;77.952,00;(55.118,47);MXN;;;0,00;0,00;;7.200,00;0,00;9.484,08;0,00;0,00;0,00;0,00;0,00;3.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;28%;ALONSO ;A;;;;;;;
2;2-003605;CGL26013926;27-ene-26;C0001;ARMOR MEXICO IMAGING SUPPLIES;34.775,00; 42.000,00 ;6.720,00;83.495,00;34.775,00;48.720,00;MXN;;;0,00;34.775,00;;4.500,00;0,00;0,00;0,00;37.500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;39%;LUIS;T;;;;;;;
2;2-003606;CGL26013940;27-ene-26;C0001;ARMOR MEXICO IMAGING SUPPLIES;108.733,00; 42.000,00 ;6.720,00;157.453,00;108.733,00;48.720,00;MXN;;;0,00;108.733,00;;4.500,00;0,00;0,00;0,00;37.500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;39%;LUS;T;;;;;;;
1;1-003607;CGL25123855;27-ene-26;C0001;ARMOR MEXICO IMAGING SUPPLIES;0,00; 97.759,43 ;15.641,51;113.400,94;0,00;113.400,94;MXN;;;0,00;0,00;;5.401,95;0,00;25.750,00;19.107,48;47.500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;19%;ELIAS;M;;;;;;;
2;2-003608;CGL25123866;27-ene-26;C0069;JOINT PRODUCTION HONOR ;0,00; 85.600,00 ;13.696,00;99.296,00;99.296,00;0,00;MXN;;;0,00;0,00;;32.000,00;0,00;53.600,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;42%;ALONSO ;T;;;;;;;
1;1-003609;CGL25123901;27-ene-26;C0001;ARMOR MEXICO IMAGING SUPPLIES;0,00; 78.650,36 ;12.584,06;91.234,42;0,00;91.234,42;MXN;;;0,00;0,00;;5.400,36;0,00;25.750,00;0,00;47.500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;23%;JUANA ;M;;;;;;;
1;1-003610;CGL25123815;27-ene-26;C0001;ARMOR MEXICO IMAGING SUPPLIES;0,00; 119.522,20 ;19.123,55;138.645,75;0,00;138.645,75;MXN;;;0,00;0,00;;5.400,36;0,00;29.072,04;19.049,80;66.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;21%;ELIAS;M;;;;;;;
2;2-003611;CGL25103693;27-ene-26;C0024;SELLOS Y RETENES DE SAN LUIS ;0,00; 9.625,00 ;1.540,00;11.165,00;11.165,00;0,00;MXN;;;0,00;0,00;;7.000,00;0,00;1.125,00;0,00;0,00;1.500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;54%;LUIS ;T;;;;;;;
1;1-003612;CGL25113730;27-ene-26;C0001;ARMOR MEXICO IMAGING SUPPLIES;0,00; 186.090,13 ;29.774,42;215.864,55;0,00;215.864,55;MXN;;;0,00;0,00;;5.458,20;0,00;29.072,04;57.149,39;71.500,00;0,00;0,00;0,00;0,00;0,00;650,00;22.260,50;0,00;0,00;0,00;0,00; -   ;21%;ELIAS;M;;;;;;;
1;1-003614;CGL25123805;27-ene-26;C0001;ARMOR MEXICO IMAGING SUPPLIES;0,00; 132.872,06 ;21.259,53;154.131,59;0,00;154.131,59;MXN;;;0,00;0,00;;5.400,36;0,00;29.072,04;31.749,66;66.000,00;0,00;0,00;0,00;0,00;0,00;650,00;0,00;0,00;0,00;0,00;0,00; -   ;21%;ELIAS;M;;;;;;;
2;2-003615;CGL25123865;28-ene-26;C0069;JOINT PRODUCTION HONOR ;0,00; 85.600,00 ;13.696,00;99.296,00;99.296,00;0,00;MXN;;;0,00;0,00;;32.000,00;0,00;53.600,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;30%;ALONSO ;T;;;;;;;
