SERIE;FACTURA;REFERENCIA ;FECHA;CLIENTE;CLIENTE NOMBRE;COMPROBADOS;COMPLEMENTARIOS;IVA;SUBTOTAL;ANTICIPO;TOTAL;MONEDA;;;DOCUMENTACION, ALMACENAJES Y MANIOBRAS ( TER) ;IMPUESTOS ADUANALES (TER);;HONORARIOS ;REVALIDACION GUIA / BOL ;MANIOBRAS;ALMACENAJES;SERVICIOS LOGISTICOS;RECONOCIMIENTO ADUANERO ;DESCONSOLIDACION;SERVICIOS COMPLEMENTARIOS ;SERVICIOS EXTRAORDINARIO ;RECTIFICACIONES;LIMPIEZA DE CONTENEDOR ;DEMORAS;LIBERACIONES DOCUMENTOS;GASTOS EN DESTINO;SERVICIO DE MENSAJERIA ;CERTIFICADO DE ORIGEN ;;PROFIT;EJECUTIVO;T OPE;;;MXN;USD;TOTAL;PORCENTAJE;
2;2-003648;CGL26013915;30-ene-26;C0002;NAPS-GUANAJUATO CAM ;31.812,00; 6.300,00 ;1.008,00;39.120,00;39.120,00;0,00;MXN;;;0,00;31.812,00;;4.500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.800,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;48%;LUIS;T;;;;;;;
2;2-003649;CGL25123830;30-ene-26;C0069;JOINT PRODUCTION HONOR ;0,00; 155.400,00 ;24.864,00;180.264,00;180.264,00;0,00;MXN;;;0,00;0,00;;56.000,00;0,00;93.800,00;0,00;0,00;0,00;0,00;0,00;5.600,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;50%;ALONSO ;T;;;;;;;
2;2-003650;CGL26013943;30-ene-26;C0069;JOINT PRODUCTION HONOR ;0,00; 21.400,00 ;3.424,00;24.824,00;24.824,00;0,00;MXN;;;0,00;0,00;;8.000,00;0,00;13.400,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;53%;ALONSO ;T;;;;;;;
1;1-003651;CGL26013947;30-ene-26;C0051;NAPS-GUANAJUATO NORTHWIRE;845,00; 36.136,67 ;5.781,87;42.763,54;73.867,00;(31.103,46);MXN;;;0,00;845,00;;10.200,00;1.500,00;9.686,67;0,00;14.750,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;25%;ALONSO ;A;;;;;;;
1;1-003652;CGL25123870;30-ene-26;C0002;NAPS-GUANAJUATO CAM ;8.896,00; 21.213,00 ;3.394,08;33.503,08;42.251,08;(8.748,00);MXN;;;0,00;8.896,00;;6.000,00;0,00;9.603,00;810,00;0,00;3.000,00;0,00;0,00;1.800,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;31%;LOREFANY ;A;;;;;;;
1;1-003653;CGL26013994;30-ene-26;C0051;NAPS-GUANAJUATO NORTHWIRE;1.307,00; 36.001,95 ;5.760,31;43.069,26;71.282,00;(28.212,74);MXN;;;0,00;1.307,00;;7.200,00;1.500,00;9.551,95;0,00;17.750,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;38%;ALONSO ;A;;;;;;;
2;2-003654;CGL26013962;30-ene-26;C0069;JOINT PRODUCTION HONOR ;0,00; 21.400,00 ;3.424,00;24.824,00;24.824,00;0,00;MXN;;;0,00;0,00;;8.000,00;0,00;13.400,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;52%;ALONSO ;T;;;;;;;
1;1-003655;CGL26013916;30-ene-26;C0069;JOINT PRODUCTION HONOR ;262.202,00; 92.430,00 ;14.788,80;369.420,80;387.293,34;(17.872,54);MXN;;;0,00;262.202,00;;7.200,00;0,00;65.506,00;19.049,00;0,00;0,00;0,00;0,00;0,00;0,00;675,00;0,00;0,00;0,00;0,00;0,00; -   ;15%;JUANA ;M ;;;;;;;
2;2-003656;CGL25123867;30-ene-26;C0069;JOINT PRODUCTION HONOR ;0,00; 154.139,75 ;24.662,36;178.802,11;178.988,00;(185,89);MXN;;;0,00;0,00;;59.000,00;0,00;95.139,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;40%;ALONSO ;T;;;;;;;
2;2-003657;CGL25123831;30-ene-26;C0069;JOINT PRODUCTION HONOR ;0,00; 64.200,00 ;10.272,00;74.472,00;74.472,00;0,00;MXN;;;0,00;0,00;;24.000,00;0,00;40.200,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;48%;ALONSO ;T;;;;;;;
;;;;;;;;0,00;0,00;;0,00;MXN;;;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;;;;;;;;;;
;;;;;;;;0,00;0,00;;0,00;MXN;;;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;;;;;;;;;;
;;;;;;;;0,00;0,00;;0,00;MXN;;;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;;;;;;;;;;
;;;;;;;;0,00;0,00;;0,00;MXN;;;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;;;;;;;;;;
;;;;;;;;0,00;0,00;;0,00;MXN;;;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;;;;;;;;;;
;;;;;;;;0,00;0,00;;0,00;MXN;;;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;;;;;;;;;;
;;;;;;;;0,00;0,00;;0,00;MXN;;;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;;;;;;;;;;
;;;;;;;;0,00;0,00;;0,00;MXN;;;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;;;;;;;;;;
;;;;;;;;0,00;0,00;;0,00;MXN;;;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;;;;;;;;;;
;;;;;;;;0,00;0,00;;0,00;MXN;;;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;;;;;;;;;;
;;;;;;;;0,00;0,00;;0,00;MXN;;;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;;;;;;;;;;
;;;;;;;;0,00;0,00;;0,00;MXN;;;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;;;;;;;;;;
;;;;;;;;0,00;0,00;;0,00;MXN;;;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;;;;;;;;;;
;;;;;;;;0,00;0,00;;0,00;MXN;;;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;;;;;;;;;;
;;;;;;;;0,00;0,00;;0,00;MXN;;;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;;;;;;;;;;
;;;;;;;;0,00;0,00;;0,00;MXN;;;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;;;;;;;;;;
;;;;;;;;0,00;0,00;;0,00;MXN;;;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;;;;;;;;;;
;;;;;;;;0,00;0,00;;0,00;MXN;;;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;;;;;;;;;;
;;;;;;;;0,00;0,00;;0,00;MXN;;;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;;;;;;;;;;
;;;;;;;;0,00;0,00;;0,00;MXN;;;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;;;;;;;;;;
;;;;;;;;0,00;0,00;;0,00;MXN;;;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;;;;;;;;;;
;;;;;;;;0,00;0,00;;0,00;MXN;;;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;;;;;;;;;;
;;;;;;;;0,00;0,00;;0,00;MXN;;;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;;;;;;;;;;
;;;;;;;;0,00;0,00;;0,00;MXN;;;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;;;;;;;;;;
;;;;;;;;0,00;0,00;0,00;0,00;MXN;;;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;;;;;;;;;;
;;;;;;796.939,00;3.364.612,05;538.337,93;4.699.888,98;4.081.336,65;618.552,33;;;;0,00;796.939,00;;1.008.067,25;7.194,47;1.319.586,15;277.089,16;668.495,32;9.762,86;0,00;0,00;43.200,00;0,00;5.418,40;25.798,44;0,00;0,00;0,00;0,00; -   ;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;0,00;;;;;;;;;401-10-002;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;BASE 16%;BASE 0%;IVA 16%;T O T A L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;TOTAL FACTURACION;;0,00;;;TOTAL MXN;3.364.612,05;0,00;538.337,93;3.902.949,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
( vs );TOTAL SAT;;0,00;;;TOTAL USD;19.127,74;282.747,89;3.060,44;304.936,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
( = );DIFERENCIA;;0,00;;;;3.383.739,79;282.747,89;541.398,37;4.207.886,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;TOTAL FACTURADOS;3.666.487,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
