;;;;;;;;;INFORMACION EN USD;;;;;;;INFORMACION EN MXN;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;USD 0,00;USD 0,00;USD 0,00;USD 0,00;USD 0,00;USD 0,00;;0,00;0,00;0,00;0,00;0,00;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
;;;;;;;;;USD 0,00;USD 0,00;USD 0,00;USD 0,00;USD 0,00;USD 0,00;;0,00;0,00;0,00;0,00;0,00;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
;;;;;;;;;;;;USD 0,00;USD 0,00;USD 0,00;;0,00;0,00;0,00;0,00;0,00;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
;;;;;;;;;;;;USD 0,00;USD 0,00;USD 0,00;;0,00;0,00;0,00;0,00;0,00;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
;;;;;;;;;;;;USD 0,00;USD 0,00;USD 0,00;;0,00;0,00;0,00;0,00;0,00;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
;;;;;;;;;USD 0,00;USD 17.090,65;USD 177,60;USD 17.268,25;USD 1.991,60;USD 15.276,65;;301.875,63;3.060,44;304.936,07;34.631,83;270.304,24;;;USD 13.910,00;USD 0,00;USD 2.021,65;USD 0,00;USD 770,00;USD 0,00;USD 389,00;USD 0,00;USD 0,00;;246.022,47;0,00;35.816,51;0,00;13.268,79;0,00;6.767,86;0,00;0,00;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USD 17.090,65;;;;;;;;;;301.875,63;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USD 0,00;;;;;;;;;;0,00;
;;;;;;;;;;;;;;;16;19.127,74;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;0; 282.747,89 ;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;; -   ;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
